item,title,year,genres,plot
1,toy story,1995,Adventure|Animation|Children|Comedy|Fantasy,"In a world where toys are living things who pretend to be lifeless when humans are present, a group of toys, owned by six-year-old Andy Davis, are caught off-guard when Andy's birthday party is moved up a week, as Andy, his mother, and infant sister Molly, are preparing to move the following week. The toys' leader and Andy's favorite toy, a pull-string cowboy doll named Sheriff Woody, organizes the other toys, including Bo Peep the shepherdess, Mr. Potato Head, Rex the Dinosaur, Hamm the Piggy Bank, and Slinky Dog, into a scouting mission. Green army men, led by Sarge, spy on the party, and report the results to the others via baby monitors. The toys are relieved when the party appears to end with none of them having been replaced, but then Andy receives a surprise gift – an electronic toy space ranger action figure named Buzz Lightyear, who thinks he is an actual space ranger.
Buzz impresses the other toys with his various features, and Andy begins to favor him, making Woody feel left out. As Andy prepares for a family outing at Pizza Planet, his mother allows him to bring one toy. Fearing Andy will choose Buzz, Woody attempts to trap Buzz behind a desk, but ends up accidentally knocking him out a window, and the other toys rebel against Woody by accusing him of knocking Buzz out of jealousy. Before they can exact revenge, Andy takes Woody instead and leaves for Pizza Planet. When the family stops for gas, Woody finds that Buzz has hitched a ride on the car as well, and fight, only to find the family has left without them. They manage to make their way to the restaurant by stowing away on a pizza delivery truck, where Buzz, still thinking he is a real space ranger, despite Woody's attempts to convince him otherwise, gets them stuck in a crane game, where they are salvaged by Andy's mischievous neighbor, Sid Phillips.
Woody attempts to escape from Sid's house, but Buzz, finally realizing he is a toy after watching a Buzz Lightyear TV ad, sinks into despondency. Sid plans to launch Buzz on a firework rocket, but his plans are delayed by a thunderstorm. Woody tells Buzz about the joy he can bring to Andy as a toy, restoring his confidence. The next day, Woody and Sid's mutant toy creations rescue Buzz just as Sid is about to launch the rocket and scare Sid into no longer abusing toys by coming to life in front of him, and he runs into his house screaming in horror. Woody and Buzz then leave Sid's house just as Andy and his family drive away toward their new home.
The duo tries to make it to the moving truck, but Sid's dog, Scud, sees them, and gives chase. Buzz gets left behind while saving Woody from Scud, and Woody tries rescuing him with Andy's RC car, but the other toys, thinking Woody eliminated RC as well, attack and toss him off the truck. Having evaded Scud, Buzz and RC retrieve Woody, and continue after the truck. Upon seeing Woody and Buzz together on RC, the other toys realize their mistake, and try to help them get back aboard, but RC's batteries become depleted, stranding them. Woody ignites the rocket on Buzz's back and manages to throw RC into the truck before they soar into the air. Buzz opens his wings to free himself from the rocket before it explodes, gliding with Woody to land safely into a box in the car, right next to Andy.
On Christmas Day, at their new house, Woody and Buzz stage another reconnaissance mission to prepare for the new toy arrivals. As Woody jokingly asks what might be worse than Buzz, they discover Andy's new gift is a puppy, and the two share a worried smile."
2,jumanji,1995,Adventure|Children|Fantasy,"In 1869, near Brantford, New Hampshire, two brothers bury a chest and hope that no one will ever find it.
A century later in 1969, Alan Parrish escapes a gang of bullies led by Billy Jessup and retreats to a shoe factory owned by his father, Sam. He meets Carl Bentley, an employee, who reveals a new shoe prototype he made by himself. Alan misplaces the shoe and damages a machine, but Carl takes responsibility and loses his job. After being attacked by Jessup's group, who also steal his bicycle, Alan follows the sound of tribal drumbeats to a construction site. He finds the chest containing a board game called ""Jumanji"" and brings it home.
At home, after an argument with Sam about attending a boarding school, Alan plans to run away. Sarah Whittle, his friend, arrives to return his bicycle, and Alan shows her Jumanji and invites her to play. With each roll of the dice, the game piece moves by itself and a cryptic message describing the roll's outcome appears in the crystal ball at the center of the board. Sarah reads the first message on the board and hears an eerie sound. Alan then unintentionally rolls the dice after being startled by the chiming clock; a message tells him to wait in a jungle until someone rolls a 5 or 8. Alan is sucked into the game, and a colony of bats chases Sarah out of the mansion.
Twenty-six years later in 1995, Judy and Peter Shepherd move into the vacant Parrish mansion with their aunt Nora, after their parents died in an accident on a ski trip in Canada, the winter before. Soon after, Judy and Peter find Jumanji in the attic and begin playing it. Their rolls release a swarm of big mosquitoes and a troop of monkeys. The game rules state that everything will be restored when the game ends, so they continue playing. Peter's next roll releases a lion and an adult Alan. As Alan makes his way out, he meets Carl, who is now working as a police officer. Alan, Judy and Peter go to the now closed shoe factory, where a derelict tells Alan that after his disappearance, Sam abandoned the business and searched for Alan, until his death just four years earlier.
Realizing they need Sarah to finish the game, the three locate her, now suffering posttraumatic stress disorder after Alan's disappearance, and they persuade her to join them. Sarah's roll releases fast-growing carnivorous plants, and Alan's next roll releases a big-game hunter, Van Pelt. Judy's next roll releases a stampede of various animals, and a pelican steals the game. Peter retrieves it, but Alan is arrested by Carl. Later, Van Pelt catches up to Alan's friends and steals the game. Peter, Sarah, and Judy follow Van Pelt to a department store, where they fight him, retrieve the game, and reunite with Alan. When the four return to the mansion, it is now completely overrun by jungle wildlife. They release numerous calamities, until Van Pelt arrives. When Alan drops the dice, he wins the game which causes everything that happened as a result of the game to be reversed.
Alan and Sarah return to 1969 as children, but have full memories of the future events. Alan reconciles with his father and admits that he was responsible for the shoe that damaged the factory's machine. Carl is rehired, and Sam tells his son that he does not have to attend boarding school. Alan and Sarah throw Jumanji into a river, and then share a kiss.
Twenty-five years later, Alan and Sarah are married and expecting their first child. Alan runs the factory after his parents retired (but are still alive). He and Sarah reunite with Judy and Peter (who have no memories of the game), and meet their parents Jim and Martha during a Christmas party. The Parrishes offer Jim a job and convinces the Shepherds to cancel their upcoming ski trip, averting their deaths, before they strike up a friendship with them.
On a beach, two young girls speaking French hear drumbeats while walking, as Jumanji lies partially buried in the sand."
3,grumpier old men,1995,Comedy|Romance,"The feud between Max (Walter Matthau) and John (Jack Lemmon) has cooled and both of them patch things up, and their children, Melanie (Daryl Hannah) and Jacob (Kevin Pollak), have become engaged. Meanwhile, John is enjoying his marriage to new wife Ariel (Ann-Margret).
The spring and summer fishing season is in full swing with the annual quest to catch ""Catfish Hunter,"" a rather large catfish. However, the local bait shop closed after Chuck, the previous owner died, and Maria Ragetti (Sophia Loren) has purchased the property with the intent of converting it into a fancy Italian restaurant.
Irritated it will no longer be a bait shop, Max and John join forces to sabotage the restaurant. They are successful at first with their practical jokes. However, when Ariel learns what is going on, she tells John to apologize to Maria at once. He eventually does, but falls asleep at the restaurant after drinking grappa. Max and Maria begin dating due to their shared passion in fishing, while her mother Francesca (Ann Morgan Guilbert) dates John's father (Burgess Meredith).
To complicate things further, Jacob and Melanie call off their engagement due to stress from their parents' involvement. Upon hearing the news, John and Max reignite their feud. Ariel is stressed out because of it and leaves John.
At the restaurant, Francesca is worried about all the time Maria spends with Max. She reminds her daughter of her five failed marriages and worries that Max will make it six. After being convinced to take a long look at herself, Maria reluctantly stops seeing him.
Distraught over losing Ariel, John heads to the lake for his father's advice, but finds him dead. Following the funeral, John and Max call off their feud again and John and Ariel reconcile. After realizing that their own inability to properly plan a wedding is what drove their kids to call it off, they decide to set it right. They help Jacob and Melanie reconcile (the couple later elopes), and manage to catch ""Catfish Hunter"" and release it, then clarify their own drama. Max marries Maria, and on the way to their honeymoon, discover Max's one-eyed bulldog, Lucky, in the car with them. Ragetti's is reformed so it will also be a bait shop."
4,waiting to exhale,1995,Comedy|Drama|Romance,"""Friends are the People who let you be yourself—and Never let you forget it""
Waiting to Exhale is a story about four African-American women—Savannah, Robin, Bernadine, and Gloria—who go through different stages of love and life.
Savannah ""’Vannah"" Jackson is a successful television producer who holds on to the belief that one day her married lover will leave his wife for her. She later comes to find that he will never leave his wife and she must find her own man who will love her for her and for who she is.
Bernadine ""Bernie"" Harris abandons her own career dreams and desire of having a catering business to raise a family and support her husband, who leaves her for a white woman.
Robin Stokes is a high-powered executive and the long-time mistress of married Russell. She has problems finding a decent man of her own after dumping him.
Gloria ""Glo"" Matthews is a beauty salon owner and single mother. After years alone, and finding out that her ex-husband, who is also the father of her son, has come out of the closet as gay, she falls in love with a new neighbor, Marvin King.
The four friends get together to provide support, listen to each other vent about life and love, and have fun, as they go through life's trials and tribulations.
Savannah ends up dumping her married lover for good. Bernadine gets a large divorce settlement from her ex-husband and finds love with a widowed father who is a civil rights attorney. He encourages Bernie to pursue her catering dreams.
Robin ends up pregnant by her married lover, but dumps him and decides to raise the baby on her own.
Gloria learns to not be so overprotective of her son, and lets him go on an ""Up With People"" trip to Spain. She apologizes to her neighbor for snapping at him when he suggested that she should let her son grow up and experience the world, and she finds love while learning to take care of herself rather than being overly self-sacrificing in her devotion to her son and her business."
5,father of the bride part ii,1995,Comedy,"The film begins five years after the events of the first one, with George Banks telling the audience he is ready for the empty nest he'll shortly receive with all of his children grown up. Shortly thereafter, Annie tells the family that she's pregnant, and George begins to mildly panic, insisting he is too young to be a grandfather. He has his assistant make a list of people who are younger than him, dyes his hair brown, and decides he and Nina should sell the home their children have grown up in if one more thing goes wrong with it.
Termites strike the house two weeks later. George puts the house on the market without telling Nina, and sells it to the Habibs. At dinner, after a discussion on whether the baby's last name will be hyphenated or not, George reveals the house has been sold. Nina is livid, as she and George have to be out in 10 days and have no place to go. On moving day George and Annie play a game of basketball one last time (what they always did for father and daughter bonding since Annie was a small child). Having no place to go, the Banks stay at the MacKenzies' (Annie's husband Bryan's parents) mansion. The MacKenzies are on vacation in Hawaii, so the Banks have to deal with their vicious Dobermans, much to George's chagrin (still obviously paranoid from a previous mishap with them).
After a late night between George and Nina, she begins experiencing symptoms that bring up the concern of menopause. After visiting the doctor the following day, they are given the opposite news: Nina is pregnant, too. Not long after, they have a chance meeting with Franck, Annie's wedding planner, who is elated at both Banks women expecting. George switches gears; now believing he is too old to be a father again. His feelings come to a head when he and Nina go to Annie and Brian's house to announce their news. Nina brings his insensitivity to light and tells him not to come home.
As an apology, George reluctantly hires Franck and his assistant Howard to do the baby shower.
As they are driving home, Nina and George have differing perspectives on the prospect of becoming new parents again. Both express how strange it will be, but begin to welcome the change.
One day when George is out, he notices that the street to their old house is blocked off and sees a demolition crew with a wrecking ball at the house and learns that Mr. Habib plans to demolish it. An upset George runs in and tries to stop them, as the wrecking ball is about to slam into the house. He pleads with Mr. Habib not to tear down the house since he is going to be a father again, as there is great sentimental value to it. He realizes that if he's going to have another child, he wants to raise him/her in the house his family grew up in. When George offers to buy the house back, Habib agrees on the condition that George pay him $100,000 up front. Although reluctant to pay that money, he gives in when Mr Habib is about to send in the wrecking ball. The Banks then move back into their house, right as Bryan is called away to an emergency meeting in Japan.
Meanwhile, Nina and Annie are moving along in their simultaneous pregnancies and need around the clock care from George. Matty takes over when his father George is away at work. Franck turns simple redecoration of Nina and George's new baby's nursery into a full-scale renovation/addition, which he affectionately calls, 'the baby's suite'. Eventually, all the stress and nights of sleep deprivation around Nina and Annie's constant care, and a few times where Annie thought she was going into labor, wear George out. When 'the baby's suite' is revealed, Franck offers George some sleeping pills from his native country called 'Vatsnik ' after George tells him that he has not been getting enough sleep. George unknowingly takes too high of a dosage and suddenly passes out during dinner. The family becomes worried, which is only increased when Annie finally goes into labor.
Franck takes over the role of driving the family to the hospital with a barely coherent George in tow. After being mistaken for a patient in need of a prostate exam, George finally regains full consciousness and goes to see Nina and Annie when Nina goes into labor. George is initially cynical about Dr. Eisenberg, a young female obstetrician, who fills in because the intended physician had to tend to his child who had fractured her arm during camp in Maine. Despite wanting his grandchild to be delivered by the same doctor who delivered his children, George comes to terms with the arrangement. Bryan soon returns to be with Annie, who gives birth to a baby boy, while Nina gives birth to a baby girl, named George and Megan respectively. George finishes telling the story about Nina and Annie's pregnancy. Bryan and Annie then move to Boston, since Annie took a job there. The film concludes with George standing on the road in front of his house, admiring it with the baby by his side. As he completes the story, he beings walking up the driveway, telling the new baby about all the basketball tricks George will teach her."
6,heat,1995,Action|Crime|Thriller,"Neil McCauley, a career criminal, hires Waingro to help him rob $1.6 million in bearer bonds from an armored car. During the heist, Waingro impulsively kills a guard, infuriating McCauley. When his crew, Chris Shiherlis, Michael Cheritto and Trejo, attempt to kill Waingro, he escapes.
McCauley's fence, Nate, suggests he sell the stolen bonds back to their original owner, money launderer Roger Van Zant. Van Zant agrees, but instructs his men to ambush McCauley at the meeting. McCauley survives the ambush and vows revenge against Van Zant.
LAPD Lieutenant Vincent Hanna, working with Sergeant Drucker and Detectives Sammy Casals, Mike Bosko, and Danny Schwartz, investigate the heist and identify McCauley's crew as the perpetrators. They discover their next target to be a precious metals depository. The unit stakes out the depository and observe the crime in progress, but inadvertently alert McCauley to their presence. McCauley abandons the burglary. Hanna, dissatisfied with the lack of evidence, lets McCauley's crew escape.
Despite the increased police surveillance, McCauley's crew agrees to one last brazen bank robbery worth $12 million to secure their financial futures. Waingro approaches Van Zant with information about eliminating McCauley's crew. McCauley starts a relationship with Eady, a designer he meets in a cafe. Hanna moves into a hotel after learning his wife Justine is having an affair.
Hanna pulls over McCauley on the freeway and invites him to coffee. Face-to-face, the aging professionals bond over their personal problems. Hanna's concern for his depressed stepdaughter Lauren and his string of failed marriages due to work, and McCauley's solitary life of a career criminal which, forbidding attachment and requiring mobility, makes his romantic relationships tenuous. Both men reaffirm their commitment to their work and to using lethal force if necessary to stop the other.
After coffee, Hanna discovers that McCauley's crew have evaded their surveillance. When Trejo withdraws from the robbery at the last minute, McCauley recruits ex-convict Donald Breedan into the crew. Hanna's unit receives a confidential tip and interrupt McCauley's crew in the middle of their bank robbery. In the ensuing gunfight, several police officers, including Bosko, are killed, while McCauley's crew loses Breedan and Cheritto. Shiherlis is wounded, but escapes with McCauley.
McCauley leaves Shiherlis with a doctor to treat his wounds. He breaks into Trejo's house to find Trejo near death. Trejo reveals that Waingro alerted Van Zant to their bank robbery, who subsequently informed the police. McCauley finishes off Trejo at his own request, then kills Van Zant at his home. McCauley approaches Eady, who has accepted his criminal activities, with a plan to flee to New Zealand.
Hanna orders police surveillance on Waingro and leaks his location to criminal channels, suspecting McCauley will attempt to kill him before leaving town. Shiherlis' estranged wife Charlene is detained in a police safehouse, where Drucker threatens her with criminal charges if she doesn't betray Shiherlis to police. Charlene agrees, but when Shiherlis shows up in disguise, she surreptitiously warns him, allowing Shiherlis to slip through the dragnet.
Hanna finds Lauren unconscious in his hotel room from a suicide attempt and rushes her to the hospital. McCauley and Eady drive to the airport when he receives word of Waingro's location at a nearby hotel. Initially dismissive, McCauley decides to risk his freedom for revenge. He infiltrates the hotel, pulling a fire alarm to distract security and confronts Waingro before killing him. Moments away from escape, he notices Hanna approaching through the crowds and is forced to abandon Eady for his freedom.
Hanna chases McCauley into a field outside the LAX freight terminal. In the cat-and-mouse shootout, McCauley is exposed, and Hanna mortally wounds him. Near death, McCauley offers his hand to Hanna, who takes it, and respectfully watches his adversary die."
7,sabrina,1995,Comedy|Romance,"Sabrina Fairchild is the young daughter of the Larrabee family's chauffeur, Thomas, and has been in love with David Larrabee all her life. David is a playboy, constantly falling in love, yet he has never noticed Sabrina, much to her dismay.
Sabrina travels to Paris for a fashion internship at Vogue and returns as an attractive, sophisticated woman. David, after initially not recognizing her, is quickly drawn to her despite being newly engaged to Elizabeth Tyson, a doctor.
David's workaholic older brother Linus fears that David's imminent wedding to the very suitable Elizabeth might be endangered. If the wedding were to be canceled, so would a lucrative merger with the bride's family business, Tyson Electronics, run by her father Patrick. This could cost the Larrabee Corporation, run by Linus and his mother Maude, in the neighborhood of a billion dollars.
Linus tries to redirect Sabrina's affections to himself and it works. Sabrina falls in love with him, even though she quotes others as calling Linus ""the world's only living heart donor"" and someone who ""thinks that morals are paintings on walls and scruples are money in Russia.""
In the process, Linus also falls in love with her. Unwilling to admit his feelings, Linus confesses his scheme to Sabrina at the last minute and sends her back to Paris. Before she gets on the plane to Paris, her father informs her that over the years of chauffeuring the father of David and Linus, he listened. When Mr. Larrabee sold, he sold and when Mr. Larrabee bought, he bought. Sabrina jokingly says ""So you are telling me that you have a million dollars?"" Her father says no, he has a little over two million and that her mother would want her to have it.
Meanwhile, Linus realizes his true feelings for Sabrina, and is induced to follow her to Paris by chiding from his mother and an unexpectedly adult and responsible David, who steps into his shoes at the Larrabee Corporation with detailed plans for the merger with Tyson. Linus arrives in Paris and reunites with Sabrina, revealing his love to her and kissing her."
8,tom and huck,1995,Adventure|Children,"The movie opens with Injun Joe (Eric Schweig) accepting a job position from Doctor Jonas Robinson (William Newman). Tom Sawyer (Jonathan Taylor Thomas) is then seen running away from home. He and his friends ride down the Mississippi River on a raft, but hit a sharp rock, which throws Tom into the water. His friends find him washed up on the shore, and Tom finds it was Huck Finn (Brad Renfro) who carried him to safety. Huck learns of an unusual way to remove warts - by taking a dead cat to the graveyard at night. There they witness Injun Joe and Muff Potter (Mike McShane), the town drunk, digging up the grave of Vic ""One-Eyed"" Murrell for Doctor Robinson. A treasure map is discovered and when Doc tries to betray the two men, Injun Joe murders him with Muff's knife.
The next morning, Muff is charged for the murder. Unfortunately, Tom and Huck had signed an oath saying that if either of them came forward about it, they would drop dead and rot. The boys embark on a search for Injun Joe's treasure map, so they can declare Muff innocent and still keep their oath. The only problem is, the map is in Injun Joe's pocket. After Injun Joe finds the last treasure, he burns the map, leaving no evidence to claim Muff innocent. Joe then discovers that Tom was a witness to the crime. He finds Tom and threatens he will kill him if he ever tells anyone about the murder. However, at the time, the entire community believed that he was dead, and the friendship between Tom and Huck starts to decline because of the fact that their evidence (the map) to prove Muff innocent, while preserving their oath, is destroyed.
At Muff Potter's trial, Tom decides that his friendship with Muff is more important than his oath with Huck and tells the truth. The court finds Muff innocent of all charges and goes after Injun Joe. As a result, Injun Joe decides to hold up his end of the bargain by killing Tom. When Injun Joe returns to the tavern, he kills his accomplice Emmett (Lanny Flaherty) for cheating him. Huck becomes angry with Tom for breaking their oath and leaves town. During a festival the next day, a group of children, including Tom and his love interest Becky Thatcher (Rachael Leigh Cook), enter the caves where Tom and Becky become lost. They stumble upon Injun Joe (who was looking for Tom) in McDougal's Cave. He traps them, but Tom and Becky manage to escape. Then they find the treasure and Tom tells Becky to go get her father and bring him back.
Just then, Injun Joe finds Tom, and again tries to kill him. But Huck returns to help save Tom, and battles Injun Joe. But Injun Joe easily overpowers Huck; just as he is about to kill him, Tom holds the treasure chest over a chasm. Injun Joe then tries to get the chest from Tom, only to fall into the chasm to his death (with the chest which was empty). The boys reconcile, and are declared heroes by the people. Tom is praised on the front page of the newspaper, and Widow Douglas (Marian Seldes) decides to adopt Huck Finn."
9,sudden death,1995,Action,"Darren McCord (Jean-Claude Van Damme) is a French Canadian-born firefighter with the Pittsburgh Fire Bureau who suffered a personal crisis after he was unable to save a young girl from a house fire. Now removed from active duty, Darren has become demoted to being fire marshal for the Pittsburgh Civic Arena.
While attending Game 7 of the Stanley Cup Finals between the Pittsburgh Penguins and the Chicago Blackhawks with his daughter Emily (Whittni Wright) and his son Tyler (Ross Malinger), he discovers a crime operation occurring in the arena. Soon a gang of terrorists led by former US government employee and fired CIA operative Joshua Foss (Powers Boothe) is holding U.S. Vice President Daniel Binder (Raymond J. Barry) and several other VIPs hostage in a luxury suite.
Foss has the arena wired with explosives, and plans to blow it up at the end of the game while having hundreds of millions of dollars wired into several off shore accounts. Darren must not just stop Foss, but somehow send the game into overtime and rescue both his son and daughter simultaneously.
Darren is pulled into the plot when Emily is kidnapped by Carla, the sole female member of the terrorists dressed as the mascot Iceburgh. Carla places Emily in the suite with the other hostages about to be executed. Darren heads up to the executive offices and finds a mobile phone, with which he gets in touch with Secret Service Agent Matthew Hallmark (Dorian Harewood), who advises Darren to stand by while the agents take charge. He angrily refuses, saying that he will handle this himself.
The Secret Service and the Pittsburgh Police team up to surround the arena and a standoff ensues. Meanwhile, Darren manages to find a few of the bombs and disarm them, whilst Foss goes about killing several hostages after the 2nd period ends. Agent Hallmark finally makes his way inside and meets with Darren, who explains where the rest of the bombs are most likely located. It is then revealed that Hallmark is in league with Foss, and tries to kidnap Tyler, but fails. Hallmark then reveals his true self to Darren, and Darren burns him alive. Darren then uses Hallmark's phone to contact Foss, who taunts him with the news that he is holding his daughter captive.
As time quickly ticks down, Darren manages to disable more bombs, but is severely slowed by confrontations with Foss's men. At one point, the fire marshal must pretend to be the Pittsburgh goalie to escape the thugs and ends up successfully defending a shot. The third period runs down, and with the Penguins down by one goal, Luc Robitaille scores the equalizer in the last second, bringing the game to sudden death and prolonging the game, but only until the next goal is scored. Darren decides that there's no time left to find the remaining bombs and climbs up to the roof of the Civic Arena. He advances upon the owner's box from above and forces his way in, rescuing Emily and the remaining hostages.
Meanwhile, Foss manages to escape and blend in with the chaos that has ensued by one of Foss's henchmen falling from the roof through the score display and blowing it up. Foss sets off one of the bombs, flooding part of the arena, and recaptures Emily when she recognizes him. They head up towards the top of the arena, where a helicopter is waiting to lift Foss away. Darren intervenes and saves his daughter. Foss flees, and a wounded Darren shoots the pilot through the floor and a screaming Foss is killed as the chopper falls into the arena and explodes on impact with the ice.
Darren is led to a waiting ambulance while and his son and daughter comment to the paramedics about how their father is a hero. A contented Darren is put inside the ambulance as the film ends."
10,goldeneye,1995,Action|Adventure|Thriller,"In 1986, at Arkhangelsk, MI6 agents James Bond and Alec Trevelyan infiltrate a Soviet chemical weapons facility and plant explosives. Trevelyan is captured and executed by Colonel Arkady Grigorovich Ourumov, but Bond flees as the facility explodes.
Nine years later, in Monte Carlo, Bond follows Xenia Onatopp, a member of the Janus crime syndicate, who has formed a suspicious relationship with Charles Farrel, a Canadian Navy admiral. As Onatopp crushes the admiral to death with her thighs during sex, his credentials are stolen by Ourumov, who uses them to board a French Navy destroyer with Onatopp to steal a Eurocopter Tiger helicopter. Ourumov and Onatopp later fly the helicopter to a bunker in Severnaya, Siberia, where they massacre the staff and steal the control disk for the GoldenEye satellites, two Soviet electromagnetic weapon satellites from the Cold War. They program the first GoldenEye (Petya) to destroy the complex, and escape with programmer Boris Grishenko. Natalya Simonova, the lone survivor, contacts Boris and arranges to meet him in Saint Petersburg, where he betrays her to Janus.
In London, M assigns Bond to investigate the attack. He flies to Saint Petersburg to meet CIA operative Jack Wade, who suggests that Bond meet with Valentin Zukovsky, a former KGB agent and business rival of Janus. Zukovsky arranges a meeting between Bond and Janus. Onatopp surprises Bond at the Grand Hotel Europe and attempts to kill him, but he overpowers her. She takes Bond to Janus, who reveals himself as Trevelyan; he faked his death at Arkhangelsk but was badly scarred by the explosion. A descendant of the Cossack clans who collaborated with the Nazi forces in the Second World War, Trevelyan had vowed revenge against the British after they betrayed the Cossacks, which drove his father to kill Trevelyan's mother and himself. Just as Bond is about to shoot Trevelyan, Bond is shot with a tranquilizer dart.
Bond awakens, tied up with Natalya in the helicopter, which has been programmed to self-destruct. They escape but are captured and transported to the Russian military archives, where Minister of Defence Dimitri Mishkin interrogates them. Just as Natalya reveals the existence of a second satellite and Ourumov's involvement in the Siberian massacre, Ourumov arrives and kills Mishkin. Intending to frame Bond for the murder, he calls the guards, but Bond and Natalya escape. In the ensuing firefight, Natalya is captured. Bond steals a tank and pursues Ourumov through St. Petersburg to Trevelyan's train, where he kills Ourumov. Trevelyan escapes and locks Bond in the train with Natalya, setting it to self-destruct. As Bond cuts through the floor with his laser watch, Natalya triangulates Grishenko's satellite dish to Cuba. The two escape just before the train explodes.
Bond and Natalya meet Wade in the Florida Keys and borrow his plane for the trip to Cuba, where the same night, they make love. The next day, while searching for GoldenEye's satellite dish, they are shot down. Onatopp rappels down from a helicopter and attacks Bond. After a fight ensues, Bond shoots down the helicopter, which snares Onatopp and crushes her to death against a tree. Bond and Natalya watch water draining out of a lake, uncovering the satellite dish. They infiltrate the control station, and Bond is captured. Trevelyan reveals his plan to rob the Bank of England before erasing all of its financial records with the second GoldenEye (Misha), concealing the theft and destroying Britain's economy.
Natalya programs the satellite to initiate atmospheric re-entry and destroy itself. As Trevelyan captures Natalya and orders Grishenko to save the satellite, Grishenko unwittingly triggers an explosion with Bond's pen grenade (received earlier from Q), which allows Bond to escape to the antenna cradle. Bond sabotages the antenna, preventing Grishenko from regaining control of the satellite. Bond and Trevelyan fight on the antenna's suspended platform, which finishes with Bond holding a dangling Trevelyan by his foot. Bond releases Trevelyan, who plummets into the dish. Seconds later the cradle explodes, killing Trevelyan and Grishenko. Natalya commandeers a helicopter and rescues Bond. It drops them in a field, where the couple are rescued by Wade and a team of Marines."
