configuration,num_items,group,groupID
divergent,25,"{'item_1': [34, 60, 89, 36], 'item_2': [95, 34, 10, 31], 'item_3': [77, 5, 56, 44], 'item_4': [14, 22, 3, 70], 'item_5': [18, 69, 9, 5], 'item_6': [25, 3, 1, 61], 'item_7': [57, 14, 5, 63], 'item_8': [89, 79, 1, 29], 'item_9': [30, 4, 13, 79], 'item_10': [93, 2, 58, 8], 'item_11': [29, 1, 75, 19], 'item_12': [5, 69, 97, 5], 'item_13': [92, 1, 72, 18], 'item_14': [1, 84, 100, 29], 'item_15': [1, 79, 74, 74], 'item_16': [33, 65, 5, 15], 'item_17': [32, 75, 42, 5], 'item_18': [21, 29, 92, 86], 'item_19': [70, 14, 14, 15], 'item_20': [5, 5, 71, 97], 'item_21': [51, 60, 26, 1], 'item_22': [88, 60, 1, 90], 'item_23': [41, 92, 17, 1], 'item_24': [12, 77, 52, 65], 'item_25': [89, 39, 17, 79]}",0.0
divergent,25,"{'item_1': [55, 44, 83, 28], 'item_2': [20, 96, 4, 34], 'item_3': [7, 82, 63, 73], 'item_4': [47, 51, 95, 1], 'item_5': [9, 46, 93, 97], 'item_6': [40, 66, 66, 92], 'item_7': [85, 32, 56, 45], 'item_8': [25, 5, 13, 93], 'item_9': [44, 87, 1, 43], 'item_10': [52, 80, 31, 79], 'item_11': [89, 11, 86, 11], 'item_12': [5, 79, 92, 99], 'item_13': [77, 22, 12, 84], 'item_14': [1, 81, 51, 42], 'item_15': [90, 5, 61, 96], 'item_16': [38, 64, 91, 5], 'item_17': [71, 50, 93, 80], 'item_18': [4, 1, 85, 94], 'item_19': [44, 1, 5, 82], 'item_20': [98, 76, 27, 94], 'item_21': [13, 70, 5, 5], 'item_22': [5, 53, 1, 29], 'item_23': [1, 74, 71, 1], 'item_24': [43, 11, 54, 25], 'item_25': [61, 62, 90, 21]}",1.0
divergent,25,"{'item_1': [81, 5, 5, 25], 'item_2': [10, 66, 40, 57], 'item_3': [50, 1, 82, 77], 'item_4': [73, 98, 51, 5], 'item_5': [69, 45, 1, 91], 'item_6': [5, 57, 70, 23], 'item_7': [73, 85, 12, 1], 'item_8': [5, 42, 82, 67], 'item_9': [57, 5, 5, 97], 'item_10': [31, 9, 97, 38], 'item_11': [53, 60, 90, 13], 'item_12': [50, 71, 46, 15], 'item_13': [93, 28, 85, 5], 'item_14': [90, 29, 98, 7], 'item_15': [9, 7, 54, 70], 'item_16': [38, 50, 54, 34], 'item_17': [74, 65, 1, 1], 'item_18': [1, 85, 31, 39], 'item_19': [63, 1, 62, 78], 'item_20': [9, 79, 57, 29], 'item_21': [41, 31, 71, 12], 'item_22': [1, 95, 53, 40], 'item_23': [51, 41, 63, 51], 'item_24': [9, 48, 73, 63], 'item_25': [82, 6, 43, 58]}",2.0
divergent,25,"{'item_1': [92, 26, 95, 25], 'item_2': [53, 60, 49, 88], 'item_3': [18, 89, 97, 73], 'item_4': [20, 7, 16, 70], 'item_5': [34, 13, 2, 67], 'item_6': [5, 89, 5, 11], 'item_7': [18, 5, 57, 8], 'item_8': [2, 42, 97, 99], 'item_9': [2, 38, 45, 1], 'item_10': [22, 94, 86, 5], 'item_11': [1, 82, 5, 99], 'item_12': [10, 1, 56, 80], 'item_13': [29, 58, 38, 68], 'item_14': [67, 70, 18, 5], 'item_15': [32, 57, 3, 22], 'item_16': [60, 5, 1, 15], 'item_17': [15, 66, 96, 37], 'item_18': [1, 94, 7, 19], 'item_19': [35, 4, 84, 67], 'item_20': [97, 4, 85, 3], 'item_21': [32, 56, 1, 89], 'item_22': [65, 30, 20, 5], 'item_23': [70, 7, 86, 25], 'item_24': [37, 87, 47, 1], 'item_25': [5, 1, 84, 61]}",3.0
divergent,25,"{'item_1': [8, 98, 5, 4], 'item_2': [46, 42, 24, 49], 'item_3': [65, 89, 83, 99], 'item_4': [44, 78, 89, 15], 'item_5': [57, 75, 1, 5], 'item_6': [18, 76, 30, 1], 'item_7': [86, 5, 22, 5], 'item_8': [63, 49, 48, 95], 'item_9': [65, 30, 27, 29], 'item_10': [1, 73, 2, 90], 'item_11': [7, 40, 7, 71], 'item_12': [1, 17, 4, 48], 'item_13': [5, 44, 99, 84], 'item_14': [87, 1, 1, 19], 'item_15': [75, 31, 7, 37], 'item_16': [49, 20, 100, 45], 'item_17': [30, 65, 18, 1], 'item_18': [25, 22, 62, 6], 'item_19': [9, 82, 98, 4], 'item_20': [56, 74, 5, 99], 'item_21': [99, 1, 54, 25], 'item_22': [65, 27, 18, 54], 'item_23': [49, 34, 74, 94], 'item_24': [37, 5, 81, 92], 'item_25': [5, 82, 63, 4]}",4.0
divergent,25,"{'item_1': [13, 18, 100, 5], 'item_2': [21, 52, 54, 67], 'item_3': [66, 35, 1, 14], 'item_4': [66, 18, 5, 60], 'item_5': [78, 1, 39, 33], 'item_6': [45, 56, 61, 83], 'item_7': [83, 29, 70, 15], 'item_8': [17, 46, 27, 26], 'item_9': [57, 5, 80, 5], 'item_10': [64, 55, 1, 10], 'item_11': [62, 89, 96, 2], 'item_12': [46, 47, 10, 67], 'item_13': [1, 33, 76, 98], 'item_14': [5, 80, 3, 77], 'item_15': [5, 98, 4, 3], 'item_16': [46, 1, 51, 72], 'item_17': [33, 5, 22, 94], 'item_18': [15, 48, 28, 90], 'item_19': [49, 10, 73, 1], 'item_20': [16, 73, 13, 20], 'item_21': [86, 74, 6, 1], 'item_22': [74, 66, 26, 98], 'item_23': [31, 78, 67, 98], 'item_24': [1, 98, 88, 43], 'item_25': [48, 12, 5, 55]}",5.0
divergent,25,"{'item_1': [20, 25, 38, 48], 'item_2': [1, 76, 5, 95], 'item_3': [5, 66, 97, 84], 'item_4': [58, 5, 75, 68], 'item_5': [70, 59, 23, 96], 'item_6': [68, 18, 63, 5], 'item_7': [85, 91, 11, 62], 'item_8': [5, 63, 11, 1], 'item_9': [1, 47, 1, 94], 'item_10': [36, 5, 94, 42], 'item_11': [43, 89, 4, 1], 'item_12': [4, 1, 37, 65], 'item_13': [23, 69, 77, 79], 'item_14': [98, 17, 36, 27], 'item_15': [42, 26, 69, 52], 'item_16': [74, 3, 48, 25], 'item_17': [71, 33, 31, 60], 'item_18': [75, 5, 32, 99], 'item_19': [58, 32, 96, 5], 'item_20': [97, 26, 1, 86], 'item_21': [18, 92, 29, 5], 'item_22': [54, 40, 43, 38], 'item_23': [11, 72, 81, 51], 'item_24': [72, 1, 5, 75], 'item_25': [18, 30, 18, 42]}",6.0
divergent,25,"{'item_1': [5, 4, 99, 5], 'item_2': [70, 86, 54, 26], 'item_3': [72, 1, 35, 13], 'item_4': [90, 44, 44, 1], 'item_5': [47, 5, 58, 1], 'item_6': [67, 100, 53, 16], 'item_7': [69, 30, 18, 5], 'item_8': [80, 27, 95, 97], 'item_9': [30, 1, 5, 81], 'item_10': [82, 77, 35, 64], 'item_11': [1, 40, 5, 97], 'item_12': [21, 21, 96, 90], 'item_13': [83, 5, 1, 72], 'item_14': [94, 13, 95, 31], 'item_15': [100, 20, 1, 70], 'item_16': [28, 1, 42, 6], 'item_17': [5, 49, 5, 68], 'item_18': [10, 22, 98, 91], 'item_19': [49, 73, 78, 94], 'item_20': [24, 96, 65, 67], 'item_21': [23, 29, 47, 73], 'item_22': [1, 58, 8, 41], 'item_23': [87, 71, 93, 2], 'item_24': [15, 62, 40, 7], 'item_25': [10, 91, 14, 64]}",7.0
divergent,25,"{'item_1': [89, 3, 3, 15], 'item_2': [29, 7, 27, 72], 'item_3': [25, 97, 68, 17], 'item_4': [1, 1, 96, 94], 'item_5': [52, 94, 60, 2], 'item_6': [37, 67, 93, 1], 'item_7': [73, 62, 1, 5], 'item_8': [8, 6, 99, 54], 'item_9': [62, 75, 83, 96], 'item_10': [86, 96, 32, 5], 'item_11': [22, 9, 64, 95], 'item_12': [58, 65, 87, 20], 'item_13': [76, 5, 37, 92], 'item_14': [90, 5, 57, 51], 'item_15': [7, 2, 13, 69], 'item_16': [1, 84, 5, 80], 'item_17': [5, 97, 88, 98], 'item_18': [28, 35, 51, 2], 'item_19': [65, 26, 1, 1], 'item_20': [31, 94, 11, 97], 'item_21': [39, 54, 27, 3], 'item_22': [24, 38, 33, 89], 'item_23': [5, 33, 5, 22], 'item_24': [41, 8, 80, 17], 'item_25': [64, 1, 10, 89]}",8.0
divergent,25,"{'item_1': [31, 87, 1, 92], 'item_2': [69, 17, 34, 29], 'item_3': [1, 98, 48, 1], 'item_4': [32, 17, 28, 1], 'item_5': [78, 5, 41, 40], 'item_6': [100, 38, 26, 84], 'item_7': [86, 36, 83, 16], 'item_8': [5, 84, 36, 76], 'item_9': [80, 91, 5, 61], 'item_10': [5, 5, 39, 19], 'item_11': [55, 95, 74, 13], 'item_12': [95, 1, 63, 9], 'item_13': [84, 1, 48, 77], 'item_14': [51, 86, 18, 6], 'item_15': [84, 30, 84, 5], 'item_16': [34, 39, 67, 54], 'item_17': [26, 24, 85, 3], 'item_18': [23, 1, 82, 82], 'item_19': [8, 56, 90, 89], 'item_20': [48, 51, 1, 16], 'item_21': [23, 19, 66, 70], 'item_22': [83, 97, 5, 75], 'item_23': [1, 74, 46, 51], 'item_24': [62, 97, 27, 5], 'item_25': [46, 18, 17, 40]}",9.0
