groupID,num_items,domain,llm,recommendation,explanation,group,run_id
68.0,50,anon,ministral-3:8b-cloud,"['item_17', 'item_12', 'item_40', 'item_11', 'item_38', 'item_33', 'item_37', 'item_44', 'item_19', 'item_25']",I averaged each item's ratings across all users to find the most balanced group favorite. Higher averages mean more people generally liked it. Items with extreme highs or lows from single users were smoothed out by averaging.,"{'item_1': [58, 69, 88, 14], 'item_2': [36, 87, 37, 68], 'item_3': [5, 1, 33, 73], 'item_4': [58, 16, 24, 61], 'item_5': [58, 95, 30, 72], 'item_6': [86, 67, 75, 2], 'item_7': [18, 16, 62, 91], 'item_8': [62, 91, 34, 37], 'item_9': [69, 88, 23, 40], 'item_10': [1, 19, 23, 40], 'item_11': [92, 37, 87, 84], 'item_12': [61, 99, 42, 23], 'item_13': [54, 7, 1, 96], 'item_14': [27, 20, 55, 93], 'item_15': [1, 63, 72, 29], 'item_16': [55, 47, 84, 5], 'item_17': [97, 84, 98, 21], 'item_18': [73, 51, 78, 44], 'item_19': [90, 22, 5, 66], 'item_20': [96, 8, 31, 50], 'item_21': [23, 57, 41, 8], 'item_22': [2, 87, 14, 81], 'item_23': [95, 38, 4, 31], 'item_24': [5, 86, 92, 74], 'item_25': [44, 11, 99, 61], 'item_26': [13, 5, 91, 22], 'item_27': [39, 8, 62, 18], 'item_28': [60, 81, 2, 60], 'item_29': [16, 31, 80, 39], 'item_30': [61, 8, 53, 59], 'item_31': [39, 36, 47, 5], 'item_32': [91, 15, 23, 20], 'item_33': [100, 5, 64, 38], 'item_34': [78, 49, 86, 1], 'item_35': [2, 21, 5, 50], 'item_36': [86, 74, 72, 2], 'item_37': [85, 1, 84, 88], 'item_38': [92, 77, 59, 32], 'item_39': [98, 21, 13, 17], 'item_40': [54, 14, 99, 100], 'item_41': [65, 63, 55, 71], 'item_42': [73, 99, 1, 53], 'item_43': [4, 94, 56, 2], 'item_44': [51, 99, 21, 90], 'item_45': [74, 29, 41, 2], 'item_46': [59, 53, 71, 13], 'item_47': [59, 4, 43, 39], 'item_48': [11, 3, 96, 60], 'item_49': [7, 37, 21, 17], 'item_50': [13, 50, 87, 1]}",1
68.0,50,anon,ministral-3:8b-cloud,"['item_17', 'item_12', 'item_33', 'item_44', 'item_38', 'item_37', 'item_40', 'item_19', 'item_25', 'item_42']","I averaged each item's ratings across all users to find the highest-scoring items for the group. This ensures we pick items that most people in the group like overall, balancing individual preferences.","{'item_1': [58, 69, 88, 14], 'item_2': [36, 87, 37, 68], 'item_3': [5, 1, 33, 73], 'item_4': [58, 16, 24, 61], 'item_5': [58, 95, 30, 72], 'item_6': [86, 67, 75, 2], 'item_7': [18, 16, 62, 91], 'item_8': [62, 91, 34, 37], 'item_9': [69, 88, 23, 40], 'item_10': [1, 19, 23, 40], 'item_11': [92, 37, 87, 84], 'item_12': [61, 99, 42, 23], 'item_13': [54, 7, 1, 96], 'item_14': [27, 20, 55, 93], 'item_15': [1, 63, 72, 29], 'item_16': [55, 47, 84, 5], 'item_17': [97, 84, 98, 21], 'item_18': [73, 51, 78, 44], 'item_19': [90, 22, 5, 66], 'item_20': [96, 8, 31, 50], 'item_21': [23, 57, 41, 8], 'item_22': [2, 87, 14, 81], 'item_23': [95, 38, 4, 31], 'item_24': [5, 86, 92, 74], 'item_25': [44, 11, 99, 61], 'item_26': [13, 5, 91, 22], 'item_27': [39, 8, 62, 18], 'item_28': [60, 81, 2, 60], 'item_29': [16, 31, 80, 39], 'item_30': [61, 8, 53, 59], 'item_31': [39, 36, 47, 5], 'item_32': [91, 15, 23, 20], 'item_33': [100, 5, 64, 38], 'item_34': [78, 49, 86, 1], 'item_35': [2, 21, 5, 50], 'item_36': [86, 74, 72, 2], 'item_37': [85, 1, 84, 88], 'item_38': [92, 77, 59, 32], 'item_39': [98, 21, 13, 17], 'item_40': [54, 14, 99, 100], 'item_41': [65, 63, 55, 71], 'item_42': [73, 99, 1, 53], 'item_43': [4, 94, 56, 2], 'item_44': [51, 99, 21, 90], 'item_45': [74, 29, 41, 2], 'item_46': [59, 53, 71, 13], 'item_47': [59, 4, 43, 39], 'item_48': [11, 3, 96, 60], 'item_49': [7, 37, 21, 17], 'item_50': [13, 50, 87, 1]}",2
68.0,50,anon,ministral-3:8b-cloud,"['item_17', 'item_12', 'item_40', 'item_38', 'item_19', 'item_33', 'item_37', 'item_25', 'item_44', 'item_42']","I averaged each item’s ratings across all users to find the highest-scoring items the whole group would likely enjoy. This way, we pick items that balance popularity and appeal to most people.","{'item_1': [58, 69, 88, 14], 'item_2': [36, 87, 37, 68], 'item_3': [5, 1, 33, 73], 'item_4': [58, 16, 24, 61], 'item_5': [58, 95, 30, 72], 'item_6': [86, 67, 75, 2], 'item_7': [18, 16, 62, 91], 'item_8': [62, 91, 34, 37], 'item_9': [69, 88, 23, 40], 'item_10': [1, 19, 23, 40], 'item_11': [92, 37, 87, 84], 'item_12': [61, 99, 42, 23], 'item_13': [54, 7, 1, 96], 'item_14': [27, 20, 55, 93], 'item_15': [1, 63, 72, 29], 'item_16': [55, 47, 84, 5], 'item_17': [97, 84, 98, 21], 'item_18': [73, 51, 78, 44], 'item_19': [90, 22, 5, 66], 'item_20': [96, 8, 31, 50], 'item_21': [23, 57, 41, 8], 'item_22': [2, 87, 14, 81], 'item_23': [95, 38, 4, 31], 'item_24': [5, 86, 92, 74], 'item_25': [44, 11, 99, 61], 'item_26': [13, 5, 91, 22], 'item_27': [39, 8, 62, 18], 'item_28': [60, 81, 2, 60], 'item_29': [16, 31, 80, 39], 'item_30': [61, 8, 53, 59], 'item_31': [39, 36, 47, 5], 'item_32': [91, 15, 23, 20], 'item_33': [100, 5, 64, 38], 'item_34': [78, 49, 86, 1], 'item_35': [2, 21, 5, 50], 'item_36': [86, 74, 72, 2], 'item_37': [85, 1, 84, 88], 'item_38': [92, 77, 59, 32], 'item_39': [98, 21, 13, 17], 'item_40': [54, 14, 99, 100], 'item_41': [65, 63, 55, 71], 'item_42': [73, 99, 1, 53], 'item_43': [4, 94, 56, 2], 'item_44': [51, 99, 21, 90], 'item_45': [74, 29, 41, 2], 'item_46': [59, 53, 71, 13], 'item_47': [59, 4, 43, 39], 'item_48': [11, 3, 96, 60], 'item_49': [7, 37, 21, 17], 'item_50': [13, 50, 87, 1]}",3
68.0,50,anon,ministral-3:8b-cloud,"['item_17', 'item_12', 'item_44', 'item_38', 'item_40', 'item_19', 'item_33', 'item_37', 'item_25', 'item_42']","I averaged each item's ratings across all users to find the highest-scoring items for the group. This ensures we pick what most people in the group like overall, ignoring extreme highs or lows from individual users.","{'item_1': [58, 69, 88, 14], 'item_2': [36, 87, 37, 68], 'item_3': [5, 1, 33, 73], 'item_4': [58, 16, 24, 61], 'item_5': [58, 95, 30, 72], 'item_6': [86, 67, 75, 2], 'item_7': [18, 16, 62, 91], 'item_8': [62, 91, 34, 37], 'item_9': [69, 88, 23, 40], 'item_10': [1, 19, 23, 40], 'item_11': [92, 37, 87, 84], 'item_12': [61, 99, 42, 23], 'item_13': [54, 7, 1, 96], 'item_14': [27, 20, 55, 93], 'item_15': [1, 63, 72, 29], 'item_16': [55, 47, 84, 5], 'item_17': [97, 84, 98, 21], 'item_18': [73, 51, 78, 44], 'item_19': [90, 22, 5, 66], 'item_20': [96, 8, 31, 50], 'item_21': [23, 57, 41, 8], 'item_22': [2, 87, 14, 81], 'item_23': [95, 38, 4, 31], 'item_24': [5, 86, 92, 74], 'item_25': [44, 11, 99, 61], 'item_26': [13, 5, 91, 22], 'item_27': [39, 8, 62, 18], 'item_28': [60, 81, 2, 60], 'item_29': [16, 31, 80, 39], 'item_30': [61, 8, 53, 59], 'item_31': [39, 36, 47, 5], 'item_32': [91, 15, 23, 20], 'item_33': [100, 5, 64, 38], 'item_34': [78, 49, 86, 1], 'item_35': [2, 21, 5, 50], 'item_36': [86, 74, 72, 2], 'item_37': [85, 1, 84, 88], 'item_38': [92, 77, 59, 32], 'item_39': [98, 21, 13, 17], 'item_40': [54, 14, 99, 100], 'item_41': [65, 63, 55, 71], 'item_42': [73, 99, 1, 53], 'item_43': [4, 94, 56, 2], 'item_44': [51, 99, 21, 90], 'item_45': [74, 29, 41, 2], 'item_46': [59, 53, 71, 13], 'item_47': [59, 4, 43, 39], 'item_48': [11, 3, 96, 60], 'item_49': [7, 37, 21, 17], 'item_50': [13, 50, 87, 1]}",4
68.0,50,anon,ministral-3:8b-cloud,"['item_17', 'item_12', 'item_33', 'item_44', 'item_38', 'item_19', 'item_37', 'item_40', 'item_42', 'item_11']","I averaged each item's ratings across all users to find the most balanced group favorite. Items with the highest average scores were recommended first, ensuring the group's overall preferences were considered.","{'item_1': [58, 69, 88, 14], 'item_2': [36, 87, 37, 68], 'item_3': [5, 1, 33, 73], 'item_4': [58, 16, 24, 61], 'item_5': [58, 95, 30, 72], 'item_6': [86, 67, 75, 2], 'item_7': [18, 16, 62, 91], 'item_8': [62, 91, 34, 37], 'item_9': [69, 88, 23, 40], 'item_10': [1, 19, 23, 40], 'item_11': [92, 37, 87, 84], 'item_12': [61, 99, 42, 23], 'item_13': [54, 7, 1, 96], 'item_14': [27, 20, 55, 93], 'item_15': [1, 63, 72, 29], 'item_16': [55, 47, 84, 5], 'item_17': [97, 84, 98, 21], 'item_18': [73, 51, 78, 44], 'item_19': [90, 22, 5, 66], 'item_20': [96, 8, 31, 50], 'item_21': [23, 57, 41, 8], 'item_22': [2, 87, 14, 81], 'item_23': [95, 38, 4, 31], 'item_24': [5, 86, 92, 74], 'item_25': [44, 11, 99, 61], 'item_26': [13, 5, 91, 22], 'item_27': [39, 8, 62, 18], 'item_28': [60, 81, 2, 60], 'item_29': [16, 31, 80, 39], 'item_30': [61, 8, 53, 59], 'item_31': [39, 36, 47, 5], 'item_32': [91, 15, 23, 20], 'item_33': [100, 5, 64, 38], 'item_34': [78, 49, 86, 1], 'item_35': [2, 21, 5, 50], 'item_36': [86, 74, 72, 2], 'item_37': [85, 1, 84, 88], 'item_38': [92, 77, 59, 32], 'item_39': [98, 21, 13, 17], 'item_40': [54, 14, 99, 100], 'item_41': [65, 63, 55, 71], 'item_42': [73, 99, 1, 53], 'item_43': [4, 94, 56, 2], 'item_44': [51, 99, 21, 90], 'item_45': [74, 29, 41, 2], 'item_46': [59, 53, 71, 13], 'item_47': [59, 4, 43, 39], 'item_48': [11, 3, 96, 60], 'item_49': [7, 37, 21, 17], 'item_50': [13, 50, 87, 1]}",5
68.0,50,anon,gpt-oss:20b-cloud,"['item_11', 'item_17', 'item_40', 'item_44', 'item_38', 'item_37', 'item_24', 'item_5', 'item_41', 'item_18']",We averaged each item's ratings across all users and sorted items by descending average rating,"{'item_1': [58, 69, 88, 14], 'item_2': [36, 87, 37, 68], 'item_3': [5, 1, 33, 73], 'item_4': [58, 16, 24, 61], 'item_5': [58, 95, 30, 72], 'item_6': [86, 67, 75, 2], 'item_7': [18, 16, 62, 91], 'item_8': [62, 91, 34, 37], 'item_9': [69, 88, 23, 40], 'item_10': [1, 19, 23, 40], 'item_11': [92, 37, 87, 84], 'item_12': [61, 99, 42, 23], 'item_13': [54, 7, 1, 96], 'item_14': [27, 20, 55, 93], 'item_15': [1, 63, 72, 29], 'item_16': [55, 47, 84, 5], 'item_17': [97, 84, 98, 21], 'item_18': [73, 51, 78, 44], 'item_19': [90, 22, 5, 66], 'item_20': [96, 8, 31, 50], 'item_21': [23, 57, 41, 8], 'item_22': [2, 87, 14, 81], 'item_23': [95, 38, 4, 31], 'item_24': [5, 86, 92, 74], 'item_25': [44, 11, 99, 61], 'item_26': [13, 5, 91, 22], 'item_27': [39, 8, 62, 18], 'item_28': [60, 81, 2, 60], 'item_29': [16, 31, 80, 39], 'item_30': [61, 8, 53, 59], 'item_31': [39, 36, 47, 5], 'item_32': [91, 15, 23, 20], 'item_33': [100, 5, 64, 38], 'item_34': [78, 49, 86, 1], 'item_35': [2, 21, 5, 50], 'item_36': [86, 74, 72, 2], 'item_37': [85, 1, 84, 88], 'item_38': [92, 77, 59, 32], 'item_39': [98, 21, 13, 17], 'item_40': [54, 14, 99, 100], 'item_41': [65, 63, 55, 71], 'item_42': [73, 99, 1, 53], 'item_43': [4, 94, 56, 2], 'item_44': [51, 99, 21, 90], 'item_45': [74, 29, 41, 2], 'item_46': [59, 53, 71, 13], 'item_47': [59, 4, 43, 39], 'item_48': [11, 3, 96, 60], 'item_49': [7, 37, 21, 17], 'item_50': [13, 50, 87, 1]}",1
68.0,50,anon,gpt-oss:20b-cloud,"['item_11', 'item_17', 'item_40', 'item_44', 'item_38', 'item_37', 'item_24', 'item_5', 'item_41', 'item_18']","We ranked items by the average of the four users’ ratings, so items liked by most users get higher rank","{'item_1': [58, 69, 88, 14], 'item_2': [36, 87, 37, 68], 'item_3': [5, 1, 33, 73], 'item_4': [58, 16, 24, 61], 'item_5': [58, 95, 30, 72], 'item_6': [86, 67, 75, 2], 'item_7': [18, 16, 62, 91], 'item_8': [62, 91, 34, 37], 'item_9': [69, 88, 23, 40], 'item_10': [1, 19, 23, 40], 'item_11': [92, 37, 87, 84], 'item_12': [61, 99, 42, 23], 'item_13': [54, 7, 1, 96], 'item_14': [27, 20, 55, 93], 'item_15': [1, 63, 72, 29], 'item_16': [55, 47, 84, 5], 'item_17': [97, 84, 98, 21], 'item_18': [73, 51, 78, 44], 'item_19': [90, 22, 5, 66], 'item_20': [96, 8, 31, 50], 'item_21': [23, 57, 41, 8], 'item_22': [2, 87, 14, 81], 'item_23': [95, 38, 4, 31], 'item_24': [5, 86, 92, 74], 'item_25': [44, 11, 99, 61], 'item_26': [13, 5, 91, 22], 'item_27': [39, 8, 62, 18], 'item_28': [60, 81, 2, 60], 'item_29': [16, 31, 80, 39], 'item_30': [61, 8, 53, 59], 'item_31': [39, 36, 47, 5], 'item_32': [91, 15, 23, 20], 'item_33': [100, 5, 64, 38], 'item_34': [78, 49, 86, 1], 'item_35': [2, 21, 5, 50], 'item_36': [86, 74, 72, 2], 'item_37': [85, 1, 84, 88], 'item_38': [92, 77, 59, 32], 'item_39': [98, 21, 13, 17], 'item_40': [54, 14, 99, 100], 'item_41': [65, 63, 55, 71], 'item_42': [73, 99, 1, 53], 'item_43': [4, 94, 56, 2], 'item_44': [51, 99, 21, 90], 'item_45': [74, 29, 41, 2], 'item_46': [59, 53, 71, 13], 'item_47': [59, 4, 43, 39], 'item_48': [11, 3, 96, 60], 'item_49': [7, 37, 21, 17], 'item_50': [13, 50, 87, 1]}",2
68.0,50,anon,gpt-oss:20b-cloud,"['item_40', 'item_44', 'item_38', 'item_37', 'item_24', 'item_5', 'item_41', 'item_18', 'item_36', 'item_6']","We averaged each item’s ratings from all four users, then ranked items from highest to lowest average; the top ten items are recommended.","{'item_1': [58, 69, 88, 14], 'item_2': [36, 87, 37, 68], 'item_3': [5, 1, 33, 73], 'item_4': [58, 16, 24, 61], 'item_5': [58, 95, 30, 72], 'item_6': [86, 67, 75, 2], 'item_7': [18, 16, 62, 91], 'item_8': [62, 91, 34, 37], 'item_9': [69, 88, 23, 40], 'item_10': [1, 19, 23, 40], 'item_11': [92, 37, 87, 84], 'item_12': [61, 99, 42, 23], 'item_13': [54, 7, 1, 96], 'item_14': [27, 20, 55, 93], 'item_15': [1, 63, 72, 29], 'item_16': [55, 47, 84, 5], 'item_17': [97, 84, 98, 21], 'item_18': [73, 51, 78, 44], 'item_19': [90, 22, 5, 66], 'item_20': [96, 8, 31, 50], 'item_21': [23, 57, 41, 8], 'item_22': [2, 87, 14, 81], 'item_23': [95, 38, 4, 31], 'item_24': [5, 86, 92, 74], 'item_25': [44, 11, 99, 61], 'item_26': [13, 5, 91, 22], 'item_27': [39, 8, 62, 18], 'item_28': [60, 81, 2, 60], 'item_29': [16, 31, 80, 39], 'item_30': [61, 8, 53, 59], 'item_31': [39, 36, 47, 5], 'item_32': [91, 15, 23, 20], 'item_33': [100, 5, 64, 38], 'item_34': [78, 49, 86, 1], 'item_35': [2, 21, 5, 50], 'item_36': [86, 74, 72, 2], 'item_37': [85, 1, 84, 88], 'item_38': [92, 77, 59, 32], 'item_39': [98, 21, 13, 17], 'item_40': [54, 14, 99, 100], 'item_41': [65, 63, 55, 71], 'item_42': [73, 99, 1, 53], 'item_43': [4, 94, 56, 2], 'item_44': [51, 99, 21, 90], 'item_45': [74, 29, 41, 2], 'item_46': [59, 53, 71, 13], 'item_47': [59, 4, 43, 39], 'item_48': [11, 3, 96, 60], 'item_49': [7, 37, 21, 17], 'item_50': [13, 50, 87, 1]}",3
68.0,50,anon,gpt-oss:20b-cloud,"['item_40', 'item_44', 'item_38', 'item_37', 'item_24', 'item_5', 'item_41', 'item_18', 'item_36', 'item_6']","We ranked items by the average of the four users' ratings, treating each rating equally, and listed the top 10 items with the highest averages.","{'item_1': [58, 69, 88, 14], 'item_2': [36, 87, 37, 68], 'item_3': [5, 1, 33, 73], 'item_4': [58, 16, 24, 61], 'item_5': [58, 95, 30, 72], 'item_6': [86, 67, 75, 2], 'item_7': [18, 16, 62, 91], 'item_8': [62, 91, 34, 37], 'item_9': [69, 88, 23, 40], 'item_10': [1, 19, 23, 40], 'item_11': [92, 37, 87, 84], 'item_12': [61, 99, 42, 23], 'item_13': [54, 7, 1, 96], 'item_14': [27, 20, 55, 93], 'item_15': [1, 63, 72, 29], 'item_16': [55, 47, 84, 5], 'item_17': [97, 84, 98, 21], 'item_18': [73, 51, 78, 44], 'item_19': [90, 22, 5, 66], 'item_20': [96, 8, 31, 50], 'item_21': [23, 57, 41, 8], 'item_22': [2, 87, 14, 81], 'item_23': [95, 38, 4, 31], 'item_24': [5, 86, 92, 74], 'item_25': [44, 11, 99, 61], 'item_26': [13, 5, 91, 22], 'item_27': [39, 8, 62, 18], 'item_28': [60, 81, 2, 60], 'item_29': [16, 31, 80, 39], 'item_30': [61, 8, 53, 59], 'item_31': [39, 36, 47, 5], 'item_32': [91, 15, 23, 20], 'item_33': [100, 5, 64, 38], 'item_34': [78, 49, 86, 1], 'item_35': [2, 21, 5, 50], 'item_36': [86, 74, 72, 2], 'item_37': [85, 1, 84, 88], 'item_38': [92, 77, 59, 32], 'item_39': [98, 21, 13, 17], 'item_40': [54, 14, 99, 100], 'item_41': [65, 63, 55, 71], 'item_42': [73, 99, 1, 53], 'item_43': [4, 94, 56, 2], 'item_44': [51, 99, 21, 90], 'item_45': [74, 29, 41, 2], 'item_46': [59, 53, 71, 13], 'item_47': [59, 4, 43, 39], 'item_48': [11, 3, 96, 60], 'item_49': [7, 37, 21, 17], 'item_50': [13, 50, 87, 1]}",4
68.0,50,anon,gpt-oss:20b-cloud,"['item_11', 'item_17', 'item_40', 'item_44', 'item_38', 'item_37', 'item_24', 'item_5', 'item_41', 'item_18']","We calculated the mean rating for each item across all four users and sorted items from highest to lowest mean; the top items are those with the highest average scores, indicating broad appeal to the group.","{'item_1': [58, 69, 88, 14], 'item_2': [36, 87, 37, 68], 'item_3': [5, 1, 33, 73], 'item_4': [58, 16, 24, 61], 'item_5': [58, 95, 30, 72], 'item_6': [86, 67, 75, 2], 'item_7': [18, 16, 62, 91], 'item_8': [62, 91, 34, 37], 'item_9': [69, 88, 23, 40], 'item_10': [1, 19, 23, 40], 'item_11': [92, 37, 87, 84], 'item_12': [61, 99, 42, 23], 'item_13': [54, 7, 1, 96], 'item_14': [27, 20, 55, 93], 'item_15': [1, 63, 72, 29], 'item_16': [55, 47, 84, 5], 'item_17': [97, 84, 98, 21], 'item_18': [73, 51, 78, 44], 'item_19': [90, 22, 5, 66], 'item_20': [96, 8, 31, 50], 'item_21': [23, 57, 41, 8], 'item_22': [2, 87, 14, 81], 'item_23': [95, 38, 4, 31], 'item_24': [5, 86, 92, 74], 'item_25': [44, 11, 99, 61], 'item_26': [13, 5, 91, 22], 'item_27': [39, 8, 62, 18], 'item_28': [60, 81, 2, 60], 'item_29': [16, 31, 80, 39], 'item_30': [61, 8, 53, 59], 'item_31': [39, 36, 47, 5], 'item_32': [91, 15, 23, 20], 'item_33': [100, 5, 64, 38], 'item_34': [78, 49, 86, 1], 'item_35': [2, 21, 5, 50], 'item_36': [86, 74, 72, 2], 'item_37': [85, 1, 84, 88], 'item_38': [92, 77, 59, 32], 'item_39': [98, 21, 13, 17], 'item_40': [54, 14, 99, 100], 'item_41': [65, 63, 55, 71], 'item_42': [73, 99, 1, 53], 'item_43': [4, 94, 56, 2], 'item_44': [51, 99, 21, 90], 'item_45': [74, 29, 41, 2], 'item_46': [59, 53, 71, 13], 'item_47': [59, 4, 43, 39], 'item_48': [11, 3, 96, 60], 'item_49': [7, 37, 21, 17], 'item_50': [13, 50, 87, 1]}",5
